id;cliente;accion_id;accion;operacion;cantidad;precio;fecha_operacion;modo;operacion_exitosa;operacion_observaciones
1;6455;30388;acidic thoroughly;unhealthy into;23412;4328.77;2023-11-25T16:51:51;starry afford;false;considering bronze
2;6446;14665;er;thoroughly discretion however;19556;11214.91;2023-11-25T11:35:45;so aluminium gracefully;false;finally
3;6118;13642;ack anchored meh;which chauffeur anti;2225;24525.61;2023-11-25T16:59:30;ouch;true;zowie
4;21423;21357;ship;properly downforce;9986;17989.02;2023-11-24T23:14:05;flip-flops steel around;false;helplessly yippee by
5;4783;30314;anenst as;even oof;12329;32562.41;2023-11-25T05:00:49;drapes scented er;true;schedule psst
6;21349;29686;times phew restfully;fester valentine;8467;9906.16;2023-11-25T06:46:54;into for gee;false;ruck elliptical longingly
7;20335;6128;excepting than;meat jaggedly;3808;9943.89;2023-11-24T19:38:13;excluding;false;tauten sticker broadly
8;13128;2231;until pfft a;mid;8817;7187.56;2023-11-24T20:33:13;astride duh understated;false;faint
9;21391;7784;um;once zinc cringe;616;7223.64;2023-11-24T21:38:50;yippee duh sudden;true;as loosely opulent
10;2808;30925;boo since zowie;depose;20475;24127.28;2023-11-24T23:50:45;suffice against;true;carefully delightfully instead
