id;cliente;accion_id;accion;operacion;cantidad;precio;fecha_operacion;modo;procesada
1;6455;30388;acidic thoroughly;unhealthy into;23412;4328.77;2023-12-09T18:20:15;AHORA;true
2;14591;27141;below;amongst;25596;28184.75;2023-12-08T22:58:31;AHORA;false
3;17296;13750;whoever with thoroughly;since next gestate;14726;13321.84;2023-12-09T06:27:26;PRINCIPIODIA;false
4;16916;6883;toward;worth;2910;19293.17;2023-12-09T15:32:12;PRINCIPIODIA;true
5;22745;0;thin;always;24034;17769.34;2023-12-09T08:34:55;AHORA;false
6;23893;7761;fussy hm;an ouch;16043;4165.33;2023-12-08T22:10:23;PRINCIPIODIA;true
7;5480;15437;how indeed;restfully whereas;31264;6672.46;2023-12-09T18:08:48;FINDIA;true
8;6229;1249;steel around;creative believe;18574;13161.36;2023-12-09T19:39:58;FINDIA;true
9;12742;26027;boo speedily;jubilantly collocate;11018;30169.64;2023-12-08T20:42:39;AHORA;false
10;18696;31503;forenenst;sushi;16641;9500.91;2023-12-09T12:48:44;AHORA;false
